"VAR","RESPONSE","MEANING"
"W171_01a",2,"ausgewählt"
"W172_01a",1,"nicht gewählt"
"W172_01a",2,"ausgewählt"
"W173_01a",1,"nicht gewählt"
"W173_01a",2,"ausgewählt"
"W174_01a",1,"nicht gewählt"
"W174_01a",2,"ausgewählt"
"W175_01a",1,"nicht gewählt"
"W175_01a",2,"ausgewählt"
"W176_01a",1,"nicht gewählt"
"W176_01a",2,"ausgewählt"
"W177_01a",1,"nicht gewählt"
"W177_01a",2,"ausgewählt"
"W178_01a",1,"nicht gewählt"
"W178_01a",2,"ausgewählt"
"W179_01a",1,"nicht gewählt"
"W179_01a",2,"ausgewählt"
"W180_01a",1,"nicht gewählt"
"W180_01a",2,"ausgewählt"
"W181_01a",1,"nicht gewählt"
"W181_01a",2,"ausgewählt"
"W182_01a",1,"nicht gewählt"
"W182_01a",2,"ausgewählt"
"W183_01a",1,"nicht gewählt"
"W183_01a",2,"ausgewählt"
"W184_01a",1,"nicht gewählt"
"W184_01a",2,"ausgewählt"
"W185_01a",1,"nicht gewählt"
"W185_01a",2,"ausgewählt"
"W186_01a",1,"nicht gewählt"
"W186_01a",2,"ausgewählt"
"W187_01a",1,"nicht gewählt"
"W187_01a",2,"ausgewählt"
"W188_01a",1,"nicht gewählt"
"W188_01a",2,"ausgewählt"
"W189_01a",1,"nicht gewählt"
"W189_01a",2,"ausgewählt"
"W190_01a",1,"nicht gewählt"
"W190_01a",2,"ausgewählt"
"W191_01a",1,"nicht gewählt"
"W191_01a",2,"ausgewählt"
"W192_01a",1,"nicht gewählt"
"W192_01a",2,"ausgewählt"
"W193_01a",1,"nicht gewählt"
"W193_01a",2,"ausgewählt"
"W194_01a",1,"nicht gewählt"
"W194_01a",2,"ausgewählt"
"W195_01a",1,"nicht gewählt"
"W195_01a",2,"ausgewählt"
"W196_01a",1,"nicht gewählt"
"W196_01a",2,"ausgewählt"
"W197_01a",1,"nicht gewählt"
"W197_01a",2,"ausgewählt"
"W198_01a",1,"nicht gewählt"
"W198_01a",2,"ausgewählt"
"W199_01a",1,"nicht gewählt"
"W199_01a",2,"ausgewählt"
"W201_01a",1,"nicht gewählt"
"W201_01a",2,"ausgewählt"
"W202_01a",1,"nicht gewählt"
"W202_01a",2,"ausgewählt"
"W203_01a",1,"nicht gewählt"
"W203_01a",2,"ausgewählt"
"W204_01a",1,"nicht gewählt"
"W204_01a",2,"ausgewählt"
"W205_01a",1,"nicht gewählt"
"W205_01a",2,"ausgewählt"
"W206_01a",1,"nicht gewählt"
"W206_01a",2,"ausgewählt"
"W207_01a",1,"nicht gewählt"
"W207_01a",2,"ausgewählt"
"W208_01a",1,"nicht gewählt"
"W208_01a",2,"ausgewählt"
"W209_01a",1,"nicht gewählt"
"W209_01a",2,"ausgewählt"
"W210_01a",1,"nicht gewählt"
"W210_01a",2,"ausgewählt"
"W211_01a",1,"nicht gewählt"
"W211_01a",2,"ausgewählt"
"W212_01a",1,"nicht gewählt"
"W212_01a",2,"ausgewählt"
"W213_01a",1,"nicht gewählt"
"W213_01a",2,"ausgewählt"
"W214_01a",1,"nicht gewählt"
"W214_01a",2,"ausgewählt"
"W215_01a",1,"nicht gewählt"
"W215_01a",2,"ausgewählt"
"W216_01a",1,"nicht gewählt"
"W216_01a",2,"ausgewählt"
"W217_01a",1,"nicht gewählt"
"W217_01a",2,"ausgewählt"
"W218_01a",1,"nicht gewählt"
"W218_01a",2,"ausgewählt"
"W219_01a",1,"nicht gewählt"
"W219_01a",2,"ausgewählt"
"W220_01a",1,"nicht gewählt"
"W220_01a",2,"ausgewählt"
"W221_01a",1,"nicht gewählt"
"W221_01a",2,"ausgewählt"
"W222_01a",1,"nicht gewählt"
"W222_01a",2,"ausgewählt"
"W223_01a",1,"nicht gewählt"
"W223_01a",2,"ausgewählt"
"W224_01a",1,"nicht gewählt"
"W224_01a",2,"ausgewählt"
"W225_01a",1,"nicht gewählt"
"W225_01a",2,"ausgewählt"
"W226_01a",1,"nicht gewählt"
"W226_01a",2,"ausgewählt"
"W227_01a",1,"nicht gewählt"
"W227_01a",2,"ausgewählt"
"W228_01a",1,"nicht gewählt"
"W228_01a",2,"ausgewählt"
"W229_01a",1,"nicht gewählt"
"W229_01a",2,"ausgewählt"
"W230_01a",1,"nicht gewählt"
"W230_01a",2,"ausgewählt"
"W231_01a",1,"nicht gewählt"
"W231_01a",2,"ausgewählt"
"W232_01a",1,"nicht gewählt"
"W232_01a",2,"ausgewählt"
"W233_01a",1,"nicht gewählt"
"W233_01a",2,"ausgewählt"
"W234_01a",1,"nicht gewählt"
"W234_01a",2,"ausgewählt"
"W235_01a",1,"nicht gewählt"
"W235_01a",2,"ausgewählt"
"W236_01a",1,"nicht gewählt"
"W236_01a",2,"ausgewählt"
"W237_01a",1,"nicht gewählt"
"W237_01a",2,"ausgewählt"
"W238_01a",1,"nicht gewählt"
"W238_01a",2,"ausgewählt"
"W239_01a",1,"nicht gewählt"
"W239_01a",2,"ausgewählt"
"W240_01a",1,"nicht gewählt"
"W240_01a",2,"ausgewählt"
"W241_01a",1,"nicht gewählt"
"W241_01a",2,"ausgewählt"
"W242_01a",1,"nicht gewählt"
"W242_01a",2,"ausgewählt"
"W243_01a",1,"nicht gewählt"
"W243_01a",2,"ausgewählt"
"W244_01a",1,"nicht gewählt"
"W244_01a",2,"ausgewählt"
"W245_01a",1,"nicht gewählt"
"W245_01a",2,"ausgewählt"
"W246_01a",1,"nicht gewählt"
"W246_01a",2,"ausgewählt"
"W247_01a",1,"nicht gewählt"
"W247_01a",2,"ausgewählt"
"W248_01a",1,"nicht gewählt"
"W248_01a",2,"ausgewählt"
"W249_01a",1,"nicht gewählt"
"W249_01a",2,"ausgewählt"
"W250_01a",1,"nicht gewählt"
"W250_01a",2,"ausgewählt"
"W251_01a",1,"nicht gewählt"
"W251_01a",2,"ausgewählt"
"W252_01a",1,"nicht gewählt"
"W252_01a",2,"ausgewählt"
"W253_01a",1,"nicht gewählt"
"W253_01a",2,"ausgewählt"
"W254_01a",1,"nicht gewählt"
"W254_01a",2,"ausgewählt"
"W255_01a",1,"nicht gewählt"
"W255_01a",2,"ausgewählt"
"W256_01a",1,"nicht gewählt"
"W256_01a",2,"ausgewählt"
"W257_01a",1,"nicht gewählt"
"W257_01a",2,"ausgewählt"
"W258_01a",1,"nicht gewählt"
"W258_01a",2,"ausgewählt"
"W259_01a",1,"nicht gewählt"
"W259_01a",2,"ausgewählt"
"W260_01a",1,"nicht gewählt"
"W260_01a",2,"ausgewählt"
"W261_01a",1,"nicht gewählt"
"W261_01a",2,"ausgewählt"
"W262_01a",1,"nicht gewählt"
"W262_01a",2,"ausgewählt"
"W263_01a",1,"nicht gewählt"
"W263_01a",2,"ausgewählt"
"W264_01a",1,"nicht gewählt"
"W264_01a",2,"ausgewählt"
"W265_01a",1,"nicht gewählt"
"W265_01a",2,"ausgewählt"
"W266_01a",1,"nicht gewählt"
"W266_01a",2,"ausgewählt"
"W267_01a",1,"nicht gewählt"
"W267_01a",2,"ausgewählt"
"W268_01a",1,"nicht gewählt"
"W268_01a",2,"ausgewählt"
"W269_01a",1,"nicht gewählt"
"W269_01a",2,"ausgewählt"
"W270_01a",1,"nicht gewählt"
"W270_01a",2,"ausgewählt"
"W271_01a",1,"nicht gewählt"
"W271_01a",2,"ausgewählt"
"W272_01a",1,"nicht gewählt"
"W272_01a",2,"ausgewählt"
"W273_01a",1,"nicht gewählt"
"W273_01a",2,"ausgewählt"
"W274_01a",1,"nicht gewählt"
"W274_01a",2,"ausgewählt"
"W275_01a",1,"nicht gewählt"
"W275_01a",2,"ausgewählt"
"W276_01a",1,"nicht gewählt"
"W276_01a",2,"ausgewählt"
"W277_01a",1,"nicht gewählt"
"W277_01a",2,"ausgewählt"
"W278_01a",1,"nicht gewählt"
"W278_01a",2,"ausgewählt"
"W279_01a",1,"nicht gewählt"
"W279_01a",2,"ausgewählt"
"W280_01a",1,"nicht gewählt"
"W280_01a",2,"ausgewählt"
"W281_01a",1,"nicht gewählt"
"W281_01a",2,"ausgewählt"
"W282_01a",1,"nicht gewählt"
"W282_01a",2,"ausgewählt"
"W283_01a",1,"nicht gewählt"
"W283_01a",2,"ausgewählt"
"W284_01a",1,"nicht gewählt"
"W284_01a",2,"ausgewählt"
"W285_01a",1,"nicht gewählt"
"W285_01a",2,"ausgewählt"
"W286_01a",1,"nicht gewählt"
"W286_01a",2,"ausgewählt"
"W287_01a",1,"nicht gewählt"
"W287_01a",2,"ausgewählt"
"W288_01a",1,"nicht gewählt"
"W288_01a",2,"ausgewählt"
"W289_01a",1,"nicht gewählt"
"W289_01a",2,"ausgewählt"
"W290_01a",1,"nicht gewählt"
"W290_01a",2,"ausgewählt"
"W291_01a",1,"nicht gewählt"
"W291_01a",2,"ausgewählt"
"W292_01a",1,"nicht gewählt"
"W292_01a",2,"ausgewählt"
"W293_01a",1,"nicht gewählt"
"W293_01a",2,"ausgewählt"
"W294_01a",1,"nicht gewählt"
"W294_01a",2,"ausgewählt"
"W295_01a",1,"nicht gewählt"
"W295_01a",2,"ausgewählt"
"W296_01a",1,"nicht gewählt"
"W296_01a",2,"ausgewählt"
"W297_01a",1,"nicht gewählt"
"W297_01a",2,"ausgewählt"
"W298_01a",1,"nicht gewählt"
"W298_01a",2,"ausgewählt"
"W299_01a",1,"nicht gewählt"
"W299_01a",2,"ausgewählt"
"W301_01a",1,"nicht gewählt"
"W301_01a",2,"ausgewählt"
"W302_01a",1,"nicht gewählt"
"W302_01a",2,"ausgewählt"
"W303_01a",1,"nicht gewählt"
"W303_01a",2,"ausgewählt"
"W304_01a",1,"nicht gewählt"
"W304_01a",2,"ausgewählt"
"W305_01a",1,"nicht gewählt"
"W305_01a",2,"ausgewählt"
"W306_01a",1,"nicht gewählt"
"W306_01a",2,"ausgewählt"
"W307_01a",1,"nicht gewählt"
"W307_01a",2,"ausgewählt"
"W308_01a",1,"nicht gewählt"
"W308_01a",2,"ausgewählt"
"W309_01a",1,"nicht gewählt"
"W309_01a",2,"ausgewählt"
"W310_01a",1,"nicht gewählt"
"W310_01a",2,"ausgewählt"
"W311_01a",1,"nicht gewählt"
"W311_01a",2,"ausgewählt"
"W312_01a",1,"nicht gewählt"
"W312_01a",2,"ausgewählt"
"W313_01a",1,"nicht gewählt"
"W313_01a",2,"ausgewählt"
"W314_01a",1,"nicht gewählt"
"W314_01a",2,"ausgewählt"
"W315_01a",1,"nicht gewählt"
"W315_01a",2,"ausgewählt"
"W316_01a",1,"nicht gewählt"
"W316_01a",2,"ausgewählt"
"W317_01a",1,"nicht gewählt"
"W317_01a",2,"ausgewählt"
"W318_01a",1,"nicht gewählt"
"W318_01a",2,"ausgewählt"
"W319_01a",1,"nicht gewählt"
"W319_01a",2,"ausgewählt"
"W320_01a",1,"nicht gewählt"
"W320_01a",2,"ausgewählt"
"W321_01a",1,"nicht gewählt"
"W321_01a",2,"ausgewählt"
"W322_01a",1,"nicht gewählt"
"W322_01a",2,"ausgewählt"
"W323_01a",1,"nicht gewählt"
"W323_01a",2,"ausgewählt"
"W324_01a",1,"nicht gewählt"
"W324_01a",2,"ausgewählt"
"W325_01a",1,"nicht gewählt"
"W325_01a",2,"ausgewählt"
"W326_01a",1,"nicht gewählt"
"W326_01a",2,"ausgewählt"
"W327_01a",1,"nicht gewählt"
"W327_01a",2,"ausgewählt"
"W328_01a",1,"nicht gewählt"
"W328_01a",2,"ausgewählt"
"W329_01a",1,"nicht gewählt"
"W329_01a",2,"ausgewählt"
"W330_01a",1,"nicht gewählt"
"W330_01a",2,"ausgewählt"
"W401_01a",1,"nicht gewählt"
"W401_01a",2,"ausgewählt"
"W402_01a",1,"nicht gewählt"
"W402_01a",2,"ausgewählt"
"W403_01a",1,"nicht gewählt"
"W403_01a",2,"ausgewählt"
"W404_01a",1,"nicht gewählt"
"W404_01a",2,"ausgewählt"
"W405_01a",1,"nicht gewählt"
"W405_01a",2,"ausgewählt"
"W406_01a",1,"nicht gewählt"
"W406_01a",2,"ausgewählt"
"W407_01a",1,"nicht gewählt"
"W407_01a",2,"ausgewählt"
"W408_01a",1,"nicht gewählt"
"W408_01a",2,"ausgewählt"
"W409_01a",1,"nicht gewählt"
"W409_01a",2,"ausgewählt"
"W410_01a",1,"nicht gewählt"
"W410_01a",2,"ausgewählt"
"W411_01a",1,"nicht gewählt"
"W411_01a",2,"ausgewählt"
"W412_01a",1,"nicht gewählt"
"W412_01a",2,"ausgewählt"
"W413_01a",1,"nicht gewählt"
"W413_01a",2,"ausgewählt"
"W414_01a",1,"nicht gewählt"
"W414_01a",2,"ausgewählt"
"W415_01a",1,"nicht gewählt"
"W415_01a",2,"ausgewählt"
"W416_01a",1,"nicht gewählt"
"W416_01a",2,"ausgewählt"
"W417_01a",1,"nicht gewählt"
"W417_01a",2,"ausgewählt"
"W418_01a",1,"nicht gewählt"
"W418_01a",2,"ausgewählt"
"W419_01a",1,"nicht gewählt"
"W419_01a",2,"ausgewählt"
"W420_01a",1,"nicht gewählt"
"W420_01a",2,"ausgewählt"
"W421_01a",1,"nicht gewählt"
"W421_01a",2,"ausgewählt"
"W422_01a",1,"nicht gewählt"
"W422_01a",2,"ausgewählt"
"W423_01a",1,"nicht gewählt"
"W423_01a",2,"ausgewählt"
"W424_01a",1,"nicht gewählt"
"W424_01a",2,"ausgewählt"
"W425_01a",1,"nicht gewählt"
"W425_01a",2,"ausgewählt"
"W426_01a",1,"nicht gewählt"
"W426_01a",2,"ausgewählt"
"W427_01a",1,"nicht gewählt"
"W427_01a",2,"ausgewählt"
"W428_01a",1,"nicht gewählt"
"W428_01a",2,"ausgewählt"
"W429_01a",1,"nicht gewählt"
"W429_01a",2,"ausgewählt"
"W430_01a",1,"nicht gewählt"
"W430_01a",2,"ausgewählt"
"W431_01a",1,"nicht gewählt"
"W431_01a",2,"ausgewählt"
"W432_01a",1,"nicht gewählt"
"W432_01a",2,"ausgewählt"
"W433_01a",1,"nicht gewählt"
"W433_01a",2,"ausgewählt"
"W434_01a",1,"nicht gewählt"
"W434_01a",2,"ausgewählt"
"W435_01a",1,"nicht gewählt"
"W435_01a",2,"ausgewählt"
"W436_01a",1,"nicht gewählt"
"W436_01a",2,"ausgewählt"
"W437_01a",1,"nicht gewählt"
"W437_01a",2,"ausgewählt"
"W438_01a",1,"nicht gewählt"
"W438_01a",2,"ausgewählt"
"W439_01a",1,"nicht gewählt"
"W439_01a",2,"ausgewählt"
"W440_01a",1,"nicht gewählt"
"W440_01a",2,"ausgewählt"
"W441_01a",1,"nicht gewählt"
"W441_01a",2,"ausgewählt"
"W442_01a",1,"nicht gewählt"
"W442_01a",2,"ausgewählt"
"W443_01a",1,"nicht gewählt"
"W443_01a",2,"ausgewählt"
"W444_01a",1,"nicht gewählt"
"W444_01a",2,"ausgewählt"
"W445_01a",1,"nicht gewählt"
"W445_01a",2,"ausgewählt"
"W446_01a",1,"nicht gewählt"
"W446_01a",2,"ausgewählt"
"W447_01a",1,"nicht gewählt"
"W447_01a",2,"ausgewählt"
"W448_01a",1,"nicht gewählt"
"W448_01a",2,"ausgewählt"
"W449_01a",1,"nicht gewählt"
"W449_01a",2,"ausgewählt"
"W450_01a",1,"nicht gewählt"
"W450_01a",2,"ausgewählt"
"W451_01a",1,"nicht gewählt"
"W451_01a",2,"ausgewählt"
"W452_01a",1,"nicht gewählt"
"W452_01a",2,"ausgewählt"
"W453_01a",1,"nicht gewählt"
"W453_01a",2,"ausgewählt"
"W454_01a",1,"nicht gewählt"
"W454_01a",2,"ausgewählt"
"W455_01a",1,"nicht gewählt"
"W455_01a",2,"ausgewählt"
"W456_01a",1,"nicht gewählt"
"W456_01a",2,"ausgewählt"
"W457_01a",1,"nicht gewählt"
"W457_01a",2,"ausgewählt"
"W458_01a",1,"nicht gewählt"
"W458_01a",2,"ausgewählt"
"W459_01a",1,"nicht gewählt"
"W459_01a",2,"ausgewählt"
"W460_01a",1,"nicht gewählt"
"W460_01a",2,"ausgewählt"
"W461_01a",1,"nicht gewählt"
"W461_01a",2,"ausgewählt"
"W462_01a",1,"nicht gewählt"
"W462_01a",2,"ausgewählt"
"W463_01a",1,"nicht gewählt"
"W463_01a",2,"ausgewählt"
"W464_01a",1,"nicht gewählt"
"W464_01a",2,"ausgewählt"
"W465_01a",1,"nicht gewählt"
"W465_01a",2,"ausgewählt"
"W466_01a",1,"nicht gewählt"
"W466_01a",2,"ausgewählt"
"W467_01a",1,"nicht gewählt"
"W467_01a",2,"ausgewählt"
"W468_01a",1,"nicht gewählt"
"W468_01a",2,"ausgewählt"
"W469_01a",1,"nicht gewählt"
"W469_01a",2,"ausgewählt"
"W470_01a",1,"nicht gewählt"
"W470_01a",2,"ausgewählt"
"W471_01a",1,"nicht gewählt"
"W471_01a",2,"ausgewählt"
"W472_01a",1,"nicht gewählt"
"W472_01a",2,"ausgewählt"
"W473_01a",1,"nicht gewählt"
"W473_01a",2,"ausgewählt"
"W474_01a",1,"nicht gewählt"
"W474_01a",2,"ausgewählt"
"W475_01a",1,"nicht gewählt"
"W475_01a",2,"ausgewählt"
"W476_01a",1,"nicht gewählt"
"W476_01a",2,"ausgewählt"
"W477_01a",1,"nicht gewählt"
"W477_01a",2,"ausgewählt"
"W478_01a",1,"nicht gewählt"
"W478_01a",2,"ausgewählt"
"W479_01a",1,"nicht gewählt"
"W479_01a",2,"ausgewählt"
"W480_01a",1,"nicht gewählt"
"W480_01a",2,"ausgewählt"
"W481_01a",1,"nicht gewählt"
"W481_01a",2,"ausgewählt"
"W482_01a",1,"nicht gewählt"
"W482_01a",2,"ausgewählt"
"W483_01a",1,"nicht gewählt"
"W483_01a",2,"ausgewählt"
"W484_01a",1,"nicht gewählt"
"W484_01a",2,"ausgewählt"
"W485_01a",1,"nicht gewählt"
"W485_01a",2,"ausgewählt"
"W486_01a",1,"nicht gewählt"
"W486_01a",2,"ausgewählt"
"W487_01a",1,"nicht gewählt"
"W487_01a",2,"ausgewählt"
"W488_01a",1,"nicht gewählt"
"W488_01a",2,"ausgewählt"
"W489_01a",1,"nicht gewählt"
"W489_01a",2,"ausgewählt"
"W490_01a",1,"nicht gewählt"
"W490_01a",2,"ausgewählt"
"W491_01a",1,"nicht gewählt"
"W491_01a",2,"ausgewählt"
"W492_01a",1,"nicht gewählt"
"W492_01a",2,"ausgewählt"
"W493_01a",1,"nicht gewählt"
"W493_01a",2,"ausgewählt"
"W494_01a",1,"nicht gewählt"
"W494_01a",2,"ausgewählt"
"W495_01a",1,"nicht gewählt"
"W495_01a",2,"ausgewählt"
"W496_01a",1,"nicht gewählt"
"W496_01a",2,"ausgewählt"
"W497_01a",1,"nicht gewählt"
"W497_01a",2,"ausgewählt"
"W498_01a",1,"nicht gewählt"
"W498_01a",2,"ausgewählt"
"W499_01a",1,"nicht gewählt"
"W499_01a",2,"ausgewählt"
"W501_01a",1,"nicht gewählt"
"W501_01a",2,"ausgewählt"
"W502_01a",1,"nicht gewählt"
"W502_01a",2,"ausgewählt"
"W503_01a",1,"nicht gewählt"
"W503_01a",2,"ausgewählt"
"W504_01a",1,"nicht gewählt"
"W504_01a",2,"ausgewählt"
"W505_01a",1,"nicht gewählt"
"W505_01a",2,"ausgewählt"
"W506_01a",1,"nicht gewählt"
"W506_01a",2,"ausgewählt"
"W507_01a",1,"nicht gewählt"
"W507_01a",2,"ausgewählt"
"W508_01a",1,"nicht gewählt"
"W508_01a",2,"ausgewählt"
"W509_01a",1,"nicht gewählt"
"W509_01a",2,"ausgewählt"
"W510_01a",1,"nicht gewählt"
"W510_01a",2,"ausgewählt"
"W511_01a",1,"nicht gewählt"
"W511_01a",2,"ausgewählt"
"W512_01a",1,"nicht gewählt"
"W512_01a",2,"ausgewählt"
"W513_01a",1,"nicht gewählt"
"W513_01a",2,"ausgewählt"
"W514_01a",1,"nicht gewählt"
"W514_01a",2,"ausgewählt"
"W515_01a",1,"nicht gewählt"
"W515_01a",2,"ausgewählt"
"W516_01a",1,"nicht gewählt"
"W516_01a",2,"ausgewählt"
"W517_01a",1,"nicht gewählt"
"W517_01a",2,"ausgewählt"
"W518_01a",1,"nicht gewählt"
"W518_01a",2,"ausgewählt"
"W519_01a",1,"nicht gewählt"
"W519_01a",2,"ausgewählt"
"W520_01a",1,"nicht gewählt"
"W520_01a",2,"ausgewählt"
"W521_01a",1,"nicht gewählt"
"W521_01a",2,"ausgewählt"
"W522_01a",1,"nicht gewählt"
"W522_01a",2,"ausgewählt"
"W523_01a",1,"nicht gewählt"
"W523_01a",2,"ausgewählt"
"W524_01a",1,"nicht gewählt"
"W524_01a",2,"ausgewählt"
"W525_01a",1,"nicht gewählt"
"W525_01a",2,"ausgewählt"
"W526_01a",1,"nicht gewählt"
"W526_01a",2,"ausgewählt"
"W527_01a",1,"nicht gewählt"
"W527_01a",2,"ausgewählt"
"W528_01a",1,"nicht gewählt"
"W528_01a",2,"ausgewählt"
"W529_01a",1,"nicht gewählt"
"W529_01a",2,"ausgewählt"
"W530_01a",1,"nicht gewählt"
"W530_01a",2,"ausgewählt"
"W531_01a",1,"nicht gewählt"
"W531_01a",2,"ausgewählt"
"W532_01a",1,"nicht gewählt"
"W532_01a",2,"ausgewählt"
"W533_01a",1,"nicht gewählt"
"W533_01a",2,"ausgewählt"
"W534_01a",1,"nicht gewählt"
"W534_01a",2,"ausgewählt"
"W535_01a",1,"nicht gewählt"
"W535_01a",2,"ausgewählt"
"W536_01a",1,"nicht gewählt"
"W536_01a",2,"ausgewählt"
"W537_01a",1,"nicht gewählt"
"W537_01a",2,"ausgewählt"
"W538_01a",1,"nicht gewählt"
"W538_01a",2,"ausgewählt"
"W539_01a",1,"nicht gewählt"
"W539_01a",2,"ausgewählt"
"W540_01a",1,"nicht gewählt"
"W540_01a",2,"ausgewählt"
"W541_01a",1,"nicht gewählt"
"W541_01a",2,"ausgewählt"
"W542_01a",1,"nicht gewählt"
"W542_01a",2,"ausgewählt"
"W543_01a",1,"nicht gewählt"
"W543_01a",2,"ausgewählt"
"W544_01a",1,"nicht gewählt"
"W544_01a",2,"ausgewählt"
"W545_01a",1,"nicht gewählt"
"W545_01a",2,"ausgewählt"
"W546_01a",1,"nicht gewählt"
"W546_01a",2,"ausgewählt"
"W547_01a",1,"nicht gewählt"
"W547_01a",2,"ausgewählt"
"W548_01a",1,"nicht gewählt"
"W548_01a",2,"ausgewählt"
"W549_01a",1,"nicht gewählt"
"W549_01a",2,"ausgewählt"
"W550_01a",1,"nicht gewählt"
"W550_01a",2,"ausgewählt"
