"VAR","LABEL","TYPE","INPUT","QUESTION"
"W118_01a","69: Banane: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W119_01","71: Pokal","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W119_01a","71: Pokal: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W120_01","72: Käse","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W120_01a","72: Käse: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W121_01","74: Traktor","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W121_01a","74: Traktor: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W122_01","75: Luftballon","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W122_01a","75: Luftballon: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W123_01","80: Hubschrauber","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W123_01a","80: Hubschrauber: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W124_01","87: Roboter","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W124_01a","87: Roboter: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W125_01","88: Krücke","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W125_01a","88: Krücke: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W126_01","89: Steckdose","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W126_01a","89: Steckdose: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W127_01","98: Tiger","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W127_01a","98: Tiger: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W128_01","102: Haare","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W128_01a","102: Haare: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W129_01","103: Museum","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W129_01a","103: Museum: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W130_01","106: Gewächshaus","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W130_01a","106: Gewächshaus: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W131_01","107: Saxophon","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W131_01a","107: Saxophon: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W132_01","110: Tisch","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W132_01a","110: Tisch: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W133_01","114: Obst","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W133_01a","114: Obst: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W134_01","122: Stuhl","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W134_01a","122: Stuhl: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W135_01","125: Kiwi","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W135_01a","125: Kiwi: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W136_01","132: Etikett","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W136_01a","132: Etikett: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W137_01","138: Kühlschrank","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W137_01a","138: Kühlschrank: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W138_01","139: Geist","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W138_01a","139: Geist: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W139_01","140: Wasserhahn","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W139_01a","140: Wasserhahn: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W140_01","141: Sonnenblume","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W140_01a","141: Sonnenblume: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W141_01","142: Glas","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W141_01a","142: Glas: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W142_01","150: Pfütze","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W142_01a","150: Pfütze: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W143_01","152: Schnecke","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W143_01a","152: Schnecke: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W144_01","153: Zigarette","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W144_01a","153: Zigarette: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W145_01","154: Domino","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W145_01a","154: Domino: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W146_01","156: Flöte","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W146_01a","156: Flöte: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W147_01","164: Straße","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W147_01a","164: Straße: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W148_01","165: Gürtel","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W148_01a","165: Gürtel: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W149_01","168: Stadion","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W149_01a","168: Stadion: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W150_01","171: Torwart","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W150_01a","171: Torwart: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W151_01","173: Apotheke","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W151_01a","173: Apotheke: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W152_01","177: Fliegenpilz","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W152_01a","177: Fliegenpilz: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W153_01","180: Pferdeschwanz","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W153_01a","180: Pferdeschwanz: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W154_01","182: Kopf","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W154_01a","182: Kopf: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W155_01","184: Hexe","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W155_01a","184: Hexe: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W156_01","186: Motor","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W156_01a","186: Motor: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W157_01","197: Zirkel","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W157_01a","197: Zirkel: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W158_01","198: Wahrsagerin","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W158_01a","198: Wahrsagerin: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W159_01","201: Erbsen","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W159_01a","201: Erbsen: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W160_01","202: Angel","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W160_01a","202: Angel: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W161_01","203: Kappe","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W161_01a","203: Kappe: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W162_01","206: Malerrolle","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W162_01a","206: Malerrolle: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W163_01","223: Reißverschluss","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W163_01a","223: Reißverschluss: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W164_01","226: Zug","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W164_01a","226: Zug: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W165_01","227: Mauer","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W165_01a","227: Mauer: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W166_01","233: Salzstreuer","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W166_01a","233: Salzstreuer: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W167_01","235: Nadel","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W167_01a","235: Nadel: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W168_01","236: Giraffe","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W168_01a","236: Giraffe: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W169_01","239: Frau","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W169_01a","239: Frau: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W170_01","241: Auge","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W170_01a","241: Auge: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W171_01","246: Zahnarzt","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W171_01a","246: Zahnarzt: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W172_01","249: Kartoffel","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W172_01a","249: Kartoffel: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W173_01","251: Krug","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W173_01a","251: Krug: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W174_01","253: Chor","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W174_01a","253: Chor: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W175_01","256: Urkunde","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W175_01a","256: Urkunde: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W176_01","258: Baguette","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W176_01a","258: Baguette: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W177_01","259: Pylone","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W177_01a","259: Pylone: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W178_01","260: Insel","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W178_01a","260: Insel: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W179_01","262: Taschenlampe","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W179_01a","262: Taschenlampe: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W180_01","267: Knoten","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W180_01a","267: Knoten: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W181_01","272: Henker","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W181_01a","272: Henker: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W182_01","274: Rauch","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W182_01a","274: Rauch: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W183_01","276: Sichel","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W183_01a","276: Sichel: Ich kenne dieses Wort nicht.","DICHOTOMOUS","CHECKBOX","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
"W184_01","277: Perücke","METRIC","OPEN","Bitte geben Sie an, in welchem Alter (in Jahren) Sie das folgende Wort gelernt* haben:"
